Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Banana,1997,Whole Year ,Meghalaya,5239,63011,3818.2,498595.63,1624.09,11.20714286
Banana,1998,Whole Year ,Assam,41885,581884,2354.4,4138238,12146.65,13.78826087
Banana,1998,Whole Year ,Goa,1900,14400,2964.9,187720,551,7.58
Banana,1998,Whole Year ,Kerala,30521,386588,3151.5,3015474.8,8851.09,12.85714286
Banana,1998,Whole Year ,Meghalaya,5194,62888,6552.7,513167.2,1506.26,11.26714286
Banana,1999,Whole Year ,Assam,41922,583383,2201.8,4449181.86,11318.94,13.74652174
Banana,1999,Whole Year ,Goa,1950,14500,3879.3,206953.5,526.5,7.44
Banana,1999,Whole Year ,Kerala,39046,398145,2914.6,4143951.98,10542.42,10.36285714
Banana,1999,Whole Year ,Meghalaya,5319,63383,6200.3,564505.47,1436.13,11.16285714
Banana,1999,Whole Year ,Puducherry,282,8890,1434.5875,29928.66,76.14,29.25
Banana,2000,Whole Year ,Andhra Pradesh,49051,819660,935.6,4815336.67,12753.26,17.63090909
Banana,2000,Whole Year ,Assam,42534,590095,1965.5,4175562.78,11058.84,13.73217391
Banana,2000,Whole Year ,Goa,2000,14745,3886.9,196340,520,7.37
Banana,2000,Whole Year ,Karnataka,35335,649567,1213.3,3468836.95,9187.1,18.36037037
Banana,2000,Whole Year ,Kerala,45059,327955,2412.6,4423442.03,11715.34,7.457857143
Banana,2000,Whole Year ,Meghalaya,5377,64100,6258.8,527860.09,1398.02,11.36285714
Banana,2000,Whole Year ,Puducherry,239,7532,1434.5875,23462.63,62.14,26.25
Banana,2001,Whole Year ,Andhra Pradesh,50507,761365,928.4,5158279.91,13131.82,11.73363636
Banana,2001,Whole Year ,Assam,43600,606192,1824.7,4452868,11336,13.77652174
Banana,2001,Whole Year ,Goa,2100,15482,2530.6,214473,546,7.37
Banana,2001,Whole Year ,Kerala,50871,375903,2946.7,5195455.23,13226.46,7.347857143
Banana,2001,Whole Year ,Puducherry,225,7461,1434.5875,22979.25,58.5,25.375
Banana,2002,Whole Year ,Andhra Pradesh,39354,1027659,648.1,3725643.18,9838.5,26.83952381
Banana,2002,Whole Year ,Assam,42631,589595,1973.6,4035876.77,10657.75,13.77652174
Banana,2002,Whole Year ,Goa,2116,15743,2516.3,200321.72,529,7.44
Banana,2002,Whole Year ,Kerala,55668,421809,2511.2,5270089.56,13917,8.055714286
Banana,2002,Whole Year ,Tamil Nadu,76771,2836916,315.9,7267910.57,19192.75,34.81964286
Banana,2003,Whole Year ,Andhra Pradesh,38714,515379,826,3831911.72,9291.36,15.68263158
Banana,2003,Whole Year ,Assam,42982,594645,2213.7,4254358.36,10315.68,13.78478261
Banana,2003,Whole Year ,Goa,2179,16900,3011.6,215677.42,522.96,7.76
Banana,2003,Whole Year ,Karnataka,33220,431463,867.6,3288115.6,7972.8,14.36222222
Banana,2003,Whole Year ,Kerala,55906,442220,2386,5533575.88,13417.44,8.215
Banana,2003,Whole Year ,Meghalaya,5628,66875,3321.3,557059.44,1350.72,10.92714286
Banana,2003,Whole Year ,Puducherry,280,10095,1434.5875,27714.4,67.2,26.56
Banana,2003,Whole Year ,Tamil Nadu,71088,2514729,345.6,7036290.24,17061.12,34.52965517
Banana,2004,Whole Year ,Karnataka,41977,526898,1117.7,4547788.18,8815.17,16.32777778
Banana,2004,Whole Year ,Kerala,58866,475371,2880.2,6377542.44,12361.86,7.803571429
Banana,2004,Whole Year ,Meghalaya,6276,67838,4767.9,679941.84,1317.96,10.06571429
Banana,2004,Whole Year ,Tamil Nadu,81498,3461788,1034,8829493.32,17114.58,41.73931034
Banana,2005,Whole Year ,Andhra Pradesh,45642,935517,1075.5,5473388.64,9584.82,23.9085
Banana,2005,Whole Year ,Assam,41967,577713,2184.6,5032682.64,8813.07,13.70555556
Banana,2005,Whole Year ,Karnataka,43562,517257,1316.2,5223955.04,9148.02,15.48037037
Banana,2005,Whole Year ,Kerala,61400,491823,3030.9,7363088,12894,8.060714286
Banana,2005,Whole Year ,Meghalaya,6426,71695,3374.4,770605.92,1349.46,10.22428571
Banana,2005,Whole Year ,Tamil Nadu,94648,4647635,1364.1,11350188.16,19876.08,48.51965517
Banana,2006,Kharif     ,Puducherry,305,9890,1434.5875,38951.55,67.1,22.23666667
Banana,2006,Kharif     ,Meghalaya,6422,72367,2454.7,820153.62,1412.84,10.31714286
Banana,2006,Whole Year ,Andhra Pradesh,50286,1224106,845.2,6422025.06,11062.92,26.19809524
Banana,2006,Whole Year ,Assam,43250,598857,1774.9,5523457.5,9515,13.70814815
Banana,2006,Whole Year ,Karnataka,42646,851437,1146.3,5446320.66,9382.12,19.95814815
Banana,2006,Whole Year ,Kerala,59143,463766,3429.7,7553152.53,13011.46,7.988571429
Banana,2006,Whole Year ,Tamil Nadu,105206,5637371,927.9,13435858.26,23145.32,54.02931034
Banana,2007,Kharif     ,Puducherry,318,10457,1434.5875,42421.2,50.88,22.45
Banana,2007,Whole Year ,Assam,43999,606749,2154.1,5869466.6,7039.84,13.68962963
Banana,2007,Whole Year ,Karnataka,52191,922999,1323.3,6962279.4,8350.56,19.55793103
Banana,2007,Whole Year ,Kerala,59341,439803,3489.6,7916089.4,9494.56,7.534285714
Banana,2007,Whole Year ,Tamil Nadu,112793,5384825,1067.2,15046586.2,18046.88,48.00758621
Banana,2008,Kharif     ,Puducherry,285,10524,1434.5875,40766.4,25.65,26.55666667
Banana,2008,Whole Year ,Andhra Pradesh,54100,1368488,944.6,7738464,4869,26.21611111
Banana,2008,Whole Year ,Assam,45580,629050,2109.9,6519763.2,4102.2,13.89074074
Banana,2008,Whole Year ,Karnataka,61001,1059346,1164.1,8725583.04,5490.09,20.47448276
Banana,2008,Whole Year ,Kerala,54739,435979,2524.8,7829866.56,4926.51,7.93
Banana,2008,Whole Year ,Meghalaya,6522,74314,3114.3,932906.88,586.98,10.37428571
Banana,2008,Whole Year ,Tamil Nadu,115804,5148134,1201.9,16564604.16,10422.36,44.54483871
Banana,2009,Kharif     ,Puducherry,285,10371,1434.5875,44408.7,48.45,26.09666667
Banana,2009,Whole Year ,Andhra Pradesh,58229,1775347,711,9073242.78,9898.93,30.9435
Banana,2009,Whole Year ,Assam,44980,621747,1727.1,7008783.6,7646.6,13.76888889
Banana,2009,Whole Year ,Karnataka,63981,1407316,1321,9969519.42,10876.77,21.92
Banana,2009,Whole Year ,Kerala,51275,406242,2821.5,7989670.5,8716.75,7.835714286
Banana,2009,Kharif     ,Meghalaya,6802,78822,2995.9,1059887.64,1156.34,10.4
Banana,2009,Whole Year ,Tamil Nadu,113681,4887841,928.5,17713773.42,19325.77,43.52
Banana,2010,Kharif     ,Puducherry,266,6368,1434.5875,44185.26,63.84,18.06666667
